X1,season,player,Pos,possessions,Age,height,weight,G,DRB,BLK,STL,DRAYMOND,PTS,FT.,PPG,FTP,draft_round,draft_number,draft_year,years_in_nba
124,2017,Cory Joseph,SG,4490.19,25,190,87,80,184,13,66,0.0581474,9.25,0.77,9.25,0.77,1,29,2011,6
125,2014,Damian Lillard,PG,6903.7,23,190,88,82,253,22,64,0.3295249,20.6707317073171,0.871,20.6707317073171,0.871,1,6,2012,2
126,2015,Damian Lillard,PG,6244.834,24,190,88,82,329,21,97,-0.2365652,20.9756097560976,0.864,20.9756097560976,0.864,1,6,2012,3
127,2016,Damian Lillard,PG,6417.935,25,190,88,75,257,28,65,0.113013,25.0533333333333,0.892,25.0533333333333,0.892,1,6,2012,4
128,2017,Damian Lillard,PG,5871.391,26,190,88,75,322,20,68,-0.4002362,26.9866666666667,0.895,26.9866666666667,0.895,1,6,2012,5
129,2014,Danny Green,SG,4433.965,26,206,100,68,204,61,65,1.53356,9.08823529411765,0.794,9.08823529411765,0.794,2,46,2009,5
130,2015,Danny Green,SG,5040.472,27,206,100,81,289,87,101,0.9845214,11.679012345679,0.874,11.679012345679,0.874,2,46,2009,6
131,2016,Danny Green,SG,4647.793,28,206,100,79,255,64,79,1.320013,7.24050632911392,0.739,7.24050632911392,0.739,2,46,2009,7
132,2017,Danny Green,SG,4431.794,29,206,100,68,193,58,71,1.735659,7.30882352941176,0.844,7.30882352941176,0.844,2,46,2009,8
133,2014,Dante Cunningham,PF,3368.441,26,203,104,81,218,58,62,-0.3946757,6.2962962962963,0.567,6.2962962962963,0.567,2,33,2009,5
134,2015,Dante Cunningham,PF,3363.386,27,203,104,66,186,37,46,-0.82793,5.15151515151515,0.617,5.15151515151515,0.617,2,33,2009,6
135,2016,Dante Cunningham,SF,4059.028,28,203,104,80,179,33,42,-1.221266,6.05,0.695,6.05,0.695,2,33,2009,7
136,2017,Dante Cunningham,SF,3450.532,29,203,104,66,221,28,39,-0.5691854,6.59090909090909,0.593,6.59090909090909,0.593,2,33,2009,8
137,2014,Darrell Arthur,SF,2443.179,25,206,106,68,158,47,39,1.218284,5.89705882352941,0.855,5.89705882352941,0.855,1,27,2008,6
138,2015,Darrell Arthur,PF,2065.743,26,206,106,58,118,26,48,1.92405,6.58620689655172,0.78,6.58620689655172,0.78,1,27,2008,7
139,2016,Darrell Arthur,PF,3109.063,27,206,106,70,207,48,53,1.257271,7.52857142857143,0.755,7.52857142857143,0.755,1,27,2008,8
140,2017,Darrell Arthur,PF,1339.903,28,206,106,41,87,21,19,0.6903489,6.39024390243902,0.864,6.39024390243902,0.864,1,27,2008,9
141,2014,Darren Collison,PG,4728.13,26,183,79,80,141,15,93,0.3027548,11.3875,0.857,11.3875,0.857,1,21,2009,5
142,2015,Darren Collison,PG,3199.447,27,183,79,45,124,14,67,0.7919524,16.1111111111111,0.788,16.1111111111111,0.788,1,21,2009,6
143,2016,Darren Collison,PG,4683.939,28,183,79,74,141,4,76,-1.799206,13.9864864864865,0.858,13.9864864864865,0.858,1,21,2009,7
144,2017,Darren Collison,PG,4111.817,29,183,79,68,130,9,67,-0.0103965,13.2352941176471,0.86,13.2352941176471,0.86,1,21,2009,8
145,2014,David West,PF,6117.569,33,206,113,80,422,74,61,1.475023,13.975,0.789,13.975,0.789,1,18,2003,11
146,2015,David West,PF,3763.549,34,206,113,66,341,48,48,-0.684037,11.6515151515152,0.739,11.6515151515152,0.739,1,18,2003,12
147,2016,David West,PF,3199.85,35,206,113,78,237,55,44,0.92714510000000006,7.1025641025641,0.788,7.1025641025641,0.788,1,18,2003,13
148,2017,David West,C,2194.265,36,206,113,68,156,48,42,3.333722,4.64705882352941,0.768,4.64705882352941,0.768,1,18,2003,14
149,2014,DeAndre Jordan,C,6707.39,25,211,120,82,783,203,80,1.179703,10.4390243902439,0.428,10.4390243902439,0.428,2,35,2008,6
150,2015,DeAndre Jordan,C,6635.813,26,211,120,82,829,183,81,0.429695,11.5365853658537,0.397,11.5365853658537,0.397,2,35,2008,7
151,2016,DeAndre Jordan,C,5694.529,27,211,120,77,792,177,51,1.730651,12.7272727272727,0.43,12.7272727272727,0.43,2,35,2008,8
152,2017,DeAndre Jordan,C,5723.38,28,211,120,81,817,135,52,1.019464,12.7037037037037,0.482,12.7037037037037,0.482,2,35,2008,9
153,2014,DeMar DeRozan,SG,6336.263,24,201,100,79,292,28,86,-0.4495337,22.6708860759494,0.824,22.6708860759494,0.824,1,9,2009,5
154,2015,DeMar DeRozan,SG,4429.898,25,201,100,60,236,11,73,-1.585678,20.0666666666667,0.832,20.0666666666667,0.832,1,9,2009,6
155,2016,DeMar DeRozan,SG,6949.281,26,201,100,78,285,21,81,-1.227738,23.4615384615385,0.85,23.4615384615385,0.85,1,9,2009,7
156,2017,DeMar DeRozan,SG,6003.848,27,201,100,74,316,13,78,-0.4660327,27.2972972972973,0.842,27.2972972972973,0.842,1,9,2009,8
157,2014,DeMarre Carroll,SF,5187.071,27,203,97,73,296,21,108,0.33329,11.0958904109589,0.773,11.0958904109589,0.773,1,27,2009,5
158,2015,DeMarre Carroll,SF,5526.549,28,203,97,70,273,17,94,-0.2228986,12.6142857142857,0.702,12.6142857142857,0.702,1,27,2009,6
159,2016,DeMarre Carroll,SF,2706.68,29,203,97,26,91,6,44,0.5620099,11,0.6,11,0.6,1,27,2009,7
160,2017,DeMarre Carroll,SF,4080.245,30,203,97,72,212,27,81,1.859354,8.86111111111111,0.761,8.86111111111111,0.761,1,27,2009,8
161,2014,Dennis Schroder,PG,1309.086,20,185,78,49,55,0,17,0.1985045,3.73469387755102,0.674,3.73469387755102,0.674,1,17,2013,1
162,2015,Dennis Schroder,PG,3597.875,21,185,78,77,135,4,49,-1.159495,9.97402597402597,0.827,9.97402597402597,0.827,1,17,2013,2
163,2016,Dennis Schroder,PG,3732.502,22,185,78,80,179,9,70,0.6185456,10.9875,0.791,10.9875,0.791,1,17,2013,3
